,name,tc,logtc,cif,material_id
0,412573.cif,0.93,-0.0725706928348353,"# generated using pymatgen
data_Sn4Ir
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.30960000
_cell_length_b   6.30960000
_cell_length_c   12.22799048
_cell_angle_alpha   104.95131777
_cell_angle_beta   104.95131777
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Sn4Ir
_chemical_formula_sum   'Sn16 Ir4'
_cell_volume   453.24882884
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_type_symbol
 _atom_type_oxidation_number
  Sn0+  0.0
  Ir0+  0.0
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ir0+  Ir0  1  0.12500000  0.37500000  0.25000000  1.0
  Ir0+  Ir1  1  0.62500000  0.87500000  0.25000000  1.0
  Ir0+  Ir2  1  0.87500000  0.62500000  0.75000000  1.0
  Ir0+  Ir3  1  0.37500000  0.12500000  0.75000000  1.0
  Sn0+  Sn4  1  0.51517000  0.61149000  0.37714000  1.0
  Sn0+  Sn5  1  0.36197000  0.11149000  0.37714000  1.0
  Sn0+  Sn6  1  0.11149000  0.01517000  0.87714000  1.0
  Sn0+  Sn7  1  0.26565000  0.51517000  0.87714000  1.0
  Sn0+  Sn8  1  0.48483000  0.38851000  0.62286000  1.0
  Sn0+  Sn9  1  0.63803000  0.88851000  0.62286000  1.0
  Sn0+  Sn10  1  0.88851000  0.98483000  0.12286000  1.0
  Sn0+  Sn11  1  0.73435000  0.48483000  0.12286000  1.0
  Sn0+  Sn12  1  0.01517000  0.76565000  0.37714000  1.0
  Sn0+  Sn13  1  0.86197000  0.26565000  0.37714000  1.0
  Sn0+  Sn14  1  0.61149000  0.86197000  0.87714000  1.0
  Sn0+  Sn15  1  0.76565000  0.36197000  0.87714000  1.0
  Sn0+  Sn16  1  0.98483000  0.23435000  0.62286000  1.0
  Sn0+  Sn17  1  0.13803000  0.73435000  0.62286000  1.0
  Sn0+  Sn18  1  0.38851000  0.13803000  0.12286000  1.0
  Sn0+  Sn19  1  0.23435000  0.63803000  0.12286000  1.0
",412573
1,391427.cif,3.0,1.0986122886681098,"# generated using pymatgen
data_LaNiPO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.04530000
_cell_length_b   4.04530000
_cell_length_c   8.10540000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaNiPO
_chemical_formula_sum   'La2 Ni2 P2 O2'
_cell_volume   132.64042997
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_type_symbol
 _atom_type_oxidation_number
  La3+  3.0
  Ni2+  2.0
  P3-  -3.0
  O2-  -2.0
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La3+  La0  1  0.75000000  0.75000000  0.84810000  1.0
  La3+  La1  1  0.25000000  0.25000000  0.15190000  1.0
  Ni2+  Ni2  1  0.75000000  0.25000000  0.50000000  1.0
  Ni2+  Ni3  1  0.25000000  0.75000000  0.50000000  1.0
  P3-  P4  1  0.75000000  0.75000000  0.37430000  1.0
  P3-  P5  1  0.25000000  0.25000000  0.62570000  1.0
  O2-  O6  1  0.75000000  0.25000000  0.00000000  1.0
  O2-  O7  1  0.25000000  0.75000000  0.00000000  1.0
",391427
2,104690.cif,7.575,2.024853351395433,"# generated using pymatgen
data_LaOs2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.47088517
_cell_length_b   5.47088517
_cell_length_c   5.47088517
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaOs2
_chemical_formula_sum   'La2 Os4'
_cell_volume   115.78646614
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_type_symbol
 _atom_type_oxidation_number
  La0+  0.0
  Os0+  0.0
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La0+  La0  1  0.75000000  0.75000000  0.75000000  1.0
  La0+  La1  1  0.00000000  0.00000000  0.00000000  1.0
  Os0+  Os2  1  0.87500000  0.37500000  0.37500000  1.0
  Os0+  Os3  1  0.37500000  0.87500000  0.37500000  1.0
  Os0+  Os4  1  0.37500000  0.37500000  0.87500000  1.0
  Os0+  Os5  1  0.37500000  0.37500000  0.37500000  1.0
",104690
3,635402.cif,5.8,1.7578579175523736,"# generated using pymatgen
data_Ta4GaSe8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.33269732
_cell_length_b   7.33269732
_cell_length_c   7.33269732
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ta4GaSe8
_chemical_formula_sum   'Ta4 Ga1 Se8'
_cell_volume   278.78941325
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_type_symbol
 _atom_type_oxidation_number
  Ta3.25+  3.25
  Ga3+  3.0
  Se2-  -2.0
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ga3+  Ga0  1  0.00000000  0.00000000  0.00000000  1.0
  Se2-  Se1  1  0.90800000  0.36400000  0.36400000  1.0
  Se2-  Se2  1  0.36400000  0.90800000  0.36400000  1.0
  Se2-  Se3  1  0.36400000  0.36400000  0.90800000  1.0
  Se2-  Se4  1  0.36400000  0.36400000  0.36400000  1.0
  Se2-  Se5  1  0.40500000  0.86500000  0.86500000  1.0
  Se2-  Se6  1  0.86500000  0.40500000  0.86500000  1.0
  Se2-  Se7  1  0.86500000  0.86500000  0.40500000  1.0
  Se2-  Se8  1  0.86500000  0.86500000  0.86500000  1.0
  Ta3.25+  Ta9  1  0.19400000  0.60200000  0.60200000  1.0
  Ta3.25+  Ta10  1  0.60200000  0.19400000  0.60200000  1.0
  Ta3.25+  Ta11  1  0.60200000  0.60200000  0.19400000  1.0
  Ta3.25+  Ta12  1  0.60200000  0.60200000  0.60200000  1.0
",635402
4,174552.cif,8.253333,2.1106171187605627,"# generated using pymatgen
data_La(Ge3Pt)4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.46817007
_cell_length_b   7.46817007
_cell_length_c   7.46817007
_cell_angle_alpha   109.47122063
_cell_angle_beta   109.47122063
_cell_angle_gamma   109.47122063
_symmetry_Int_Tables_number   1
_chemical_formula_structural   La(Ge3Pt)4
_chemical_formula_sum   'La1 Ge12 Pt4'
_cell_volume   320.64222051
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_type_symbol
 _atom_type_oxidation_number
  La0+  0.0
  Ge0+  0.0
  Pt0+  0.0
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ge0+  Ge0  1  0.64503000  0.49330000  0.84827000  1.0
  Ge0+  Ge1  1  0.35497000  0.50670000  0.15173000  1.0
  Ge0+  Ge2  1  0.35497000  0.20324000  0.84827000  1.0
  Ge0+  Ge3  1  0.64503000  0.79676000  0.15173000  1.0
  Ge0+  Ge4  1  0.79676000  0.15173000  0.64503000  1.0
  Ge0+  Ge5  1  0.20324000  0.84827000  0.35497000  1.0
  Ge0+  Ge6  1  0.50670000  0.15173000  0.35497000  1.0
  Ge0+  Ge7  1  0.49330000  0.84827000  0.64503000  1.0
  Ge0+  Ge8  1  0.15173000  0.35497000  0.50670000  1.0
  Ge0+  Ge9  1  0.84827000  0.64503000  0.49330000  1.0
  Ge0+  Ge10  1  0.15173000  0.64503000  0.79676000  1.0
  Ge0+  Ge11  1  0.84827000  0.35497000  0.20324000  1.0
  La0+  La12  1  0.00000000  0.00000000  0.00000000  1.0
  Pt0+  Pt13  1  0.00000000  0.50000000  1.00000000  1.0
  Pt0+  Pt14  1  0.50000000  0.50000000  0.50000000  1.0
  Pt0+  Pt15  1  0.00000000  0.00000000  0.50000000  1.0
  Pt0+  Pt16  1  0.50000000  0.00000000  1.00000000  1.0
",174552
5,671819.cif,4.5975,1.5255126774963392,"# generated using pymatgen
data_NbB2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.11900000
_cell_length_b   3.11900000
_cell_length_c   3.33900000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NbB2
_chemical_formula_sum   'Nb1 B2'
_cell_volume   28.13052259
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_type_symbol
 _atom_type_oxidation_number
  Nb0+  0.0
  B0+  0.0
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb0+  Nb0  1  0.00000000  0.00000000  0.00000000  1.0
  B0+  B1  1  0.66666667  0.33333333  0.50000000  1.0
  B0+  B2  1  0.33333333  0.66666667  0.50000000  1.0
",671819
6,38342.cif,1.473333,0.3875271811771276,"# generated using pymatgen
data_LaSi3Ir
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.27800000
_cell_length_b   4.27800000
_cell_length_c   5.77129682
_cell_angle_alpha   111.75430800
_cell_angle_beta   111.75430800
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaSi3Ir
_chemical_formula_sum   'La1 Si3 Ir1'
_cell_volume   89.95081086
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_type_symbol
 _atom_type_oxidation_number
  La0+  0.0
  Si0+  0.0
  Ir0+  0.0
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ir0+  Ir0  1  0.65530000  0.65530000  0.31060000  1.0
  La0+  La1  1  0.00000000  0.00000000  0.00000000  1.0
  Si0+  Si2  1  0.41120000  0.41120000  0.82240000  1.0
  Si0+  Si3  1  0.76150000  0.26150000  0.52300000  1.0
  Si0+  Si4  1  0.26150000  0.76150000  0.52300000  1.0
",38342
7,157439.cif,6.318,1.843402702379893,"# generated using pymatgen
data_Rb(OsO3)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.14783840
_cell_length_b   7.14783840
_cell_length_c   7.14783840
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Rb(OsO3)2
_chemical_formula_sum   'Rb2 Os4 O12'
_cell_volume   258.23147578
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_type_symbol
 _atom_type_oxidation_number
  Rb+  1.0
  Os5.5+  5.5
  O2-  -2.0
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O2-  O0  1  0.31700000  0.93300000  0.93300000  1.0
  O2-  O1  1  0.93300000  0.31700000  0.31700000  1.0
  O2-  O2  1  0.93300000  0.31700000  0.93300000  1.0
  O2-  O3  1  0.31700000  0.93300000  0.31700000  1.0
  O2-  O4  1  0.93300000  0.93300000  0.31700000  1.0
  O2-  O5  1  0.31700000  0.31700000  0.93300000  1.0
  O2-  O6  1  0.68300000  0.06700000  0.06700000  1.0
  O2-  O7  1  0.06700000  0.68300000  0.68300000  1.0
  O2-  O8  1  0.06700000  0.68300000  0.06700000  1.0
  O2-  O9  1  0.68300000  0.06700000  0.68300000  1.0
  O2-  O10  1  0.06700000  0.06700000  0.68300000  1.0
  O2-  O11  1  0.68300000  0.68300000  0.06700000  1.0
  Os5.5+  Os12  1  1.00000000  0.00000000  0.50000000  1.0
  Os5.5+  Os13  1  0.00000000  0.50000000  0.00000000  1.0
  Os5.5+  Os14  1  0.50000000  1.00000000  0.00000000  1.0
  Os5.5+  Os15  1  0.00000000  0.00000000  0.00000000  1.0
  Rb+  Rb16  1  0.37500000  0.37500000  0.37500000  1.0
  Rb+  Rb17  1  0.62500000  0.62500000  0.62500000  1.0
",157439
8,74641.cif,0.135,-2.002480500543708,"# generated using pymatgen
data_CsC8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.94500000
_cell_length_b   4.94500000
_cell_length_c   5.92000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CsC8
_chemical_formula_sum   'Cs1 C8'
_cell_volume   125.36748983
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_type_symbol
 _atom_type_oxidation_number
  Cs0+  0.0
  C0+  0.0
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C0+  C0  1  0.83333222  0.66666667  0.00000000  1.0
  C0+  C1  1  0.83333445  0.16666778  0.00000000  1.0
  C0+  C2  1  0.33333333  0.16666556  0.00000000  1.0
  C0+  C3  1  0.16666778  0.33333333  1.00000000  1.0
  C0+  C4  1  0.16666555  0.83333222  0.00000000  1.0
  C0+  C5  1  0.66666667  0.83333444  0.00000000  1.0
  C0+  C6  1  0.66666667  0.33333333  0.00000000  1.0
  C0+  C7  1  0.33333333  0.66666667  1.00000000  1.0
  Cs0+  Cs8  1  0.00000000  0.00000000  0.50000000  1.0
",74641
9,57480.cif,3.8,1.33500106673234,"# generated using pymatgen
data_Re2Si
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.38980000
_cell_length_b   9.60190000
_cell_length_c   6.44440000
_cell_angle_alpha   90.00000000
_cell_angle_beta   94.21400000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Re2Si
_chemical_formula_sum   'Re16 Si8'
_cell_volume   332.61102088
_cell_formula_units_Z   8
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_type_symbol
 _atom_type_oxidation_number
  Re0+  0.0
  Si0+  0.0
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Re0+  Re0  1  0.26056000  0.29786000  0.54116000  1.0
  Re0+  Re1  1  0.73944000  0.79786000  0.95884000  1.0
  Re0+  Re2  1  0.73944000  0.70214000  0.45884000  1.0
  Re0+  Re3  1  0.26056000  0.20214000  0.04116000  1.0
  Re0+  Re4  1  0.56850000  0.29497000  0.88759000  1.0
  Re0+  Re5  1  0.43150000  0.79497000  0.61241000  1.0
  Re0+  Re6  1  0.43150000  0.70503000  0.11241000  1.0
  Re0+  Re7  1  0.56850000  0.20503000  0.38759000  1.0
  Re0+  Re8  1  0.59263000  0.44740000  0.32030000  1.0
  Re0+  Re9  1  0.40737000  0.94740000  0.17970000  1.0
  Re0+  Re10  1  0.40737000  0.55260000  0.67970000  1.0
  Re0+  Re11  1  0.59263000  0.05260000  0.82030000  1.0
  Re0+  Re12  1  0.90320000  0.45801000  0.67806000  1.0
  Re0+  Re13  1  0.09680000  0.95801000  0.82194000  1.0
  Re0+  Re14  1  0.09680000  0.54199000  0.32194000  1.0
  Re0+  Re15  1  0.90320000  0.04199000  0.17806000  1.0
  Si0+  Si16  1  0.94660000  0.30220000  0.21770000  1.0
  Si0+  Si17  1  0.05340000  0.80220000  0.28230000  1.0
  Si0+  Si18  1  0.05340000  0.69780000  0.78230000  1.0
  Si0+  Si19  1  0.94660000  0.19780000  0.71770000  1.0
  Si0+  Si20  1  0.23400000  0.44900000  0.99240000  1.0
  Si0+  Si21  1  0.76600000  0.94900000  0.50760000  1.0
  Si0+  Si22  1  0.76600000  0.55100000  0.00760000  1.0
  Si0+  Si23  1  0.23400000  0.05100000  0.49240000  1.0
",57480
